name;year;sex;births;prop;rank;rank_change_yoy
Adina;2021;f;6;0.000160406;983;-344
Adina;2022;f;4;0.000111832;1199;-216
Adira;2005;f;1;3.46E-05;1348;
Adira;2006;f;1;3.44E-05;1435;-87
Adira;2012;f;1;3.00E-05;1683;
Adira;2016;f;2;5.49E-05;1546;
Adira;2018;f;2;5.47E-05;1567;
Adira;2020;f;2;5.61E-05;1612;
Adira;2021;f;1;2.67E-05;1902;-290
Adira;2022;f;3;8.39E-05;1431;471
Adisa;2000;f;11;0.000366752;453;
Adisa;2001;f;6;0.000212307;626;-173
Adisa;2002;f;2;7.10E-05;1020;-394
Adisa;2003;f;3;0.000107151;914;106
Adisa;2004;f;4;0.000138427;845;69
Adisa;2005;f;3;0.000103795;971;-126
Adisa;2006;f;5;0.000171857;796;175
Adisa;2007;f;2;6.71E-05;1208;-412
Adisa;2008;f;7;0.000228945;717;491
Adisa;2009;f;5;0.000159464;889;-172
Adisa;2010;f;5;0.000153516;915;-26
Adisa;2011;f;3;9.19E-05;1188;-273
Adisa;2012;f;6;0.000180229;843;345
Adisa;2013;f;2;5.95E-05;1429;-586
Adisa;2015;f;2;5.62E-05;1480;
Adisa;2016;f;5;0.000137336;1034;446
Adisa;2018;f;2;5.47E-05;1567;
Adisa;2022;f;2;5.59E-05;1849;
Aditi;2001;f;1;3.54E-05;1162;
Aditi;2004;f;1;3.46E-05;1343;
Aditi;2005;f;1;3.46E-05;1348;-5
Aditi;2011;f;1;3.06E-05;1625;
Aditi;2013;f;1;2.98E-05;1733;
Aditi;2016;f;1;2.75E-05;1839;
Aditi;2021;f;1;2.67E-05;1902;
Aditi;2022;f;3;8.39E-05;1431;471
Adna;2000;f;6;0.000200047;638;
Adna;2001;f;4;0.000141538;746;-108
Adna;2002;f;3;0.000106523;887;-141
Adna;2003;f;5;0.000178584;722;165
Adna;2004;f;6;0.000207641;687;35
Adna;2005;f;2;6.92E-05;1125;-438
Adna;2006;f;5;0.000171857;796;329
Adna;2007;f;2;6.71E-05;1208;-412
Adna;2008;f;7;0.000228945;717;491
Adna;2009;f;2;6.38E-05;1284;-567
Adna;2010;f;2;6.14E-05;1339;-55
Adna;2011;f;5;0.000153238;891;448
Adna;2012;f;5;0.000150191;951;-60
Adna;2013;f;2;5.95E-05;1429;-478
Adna;2014;f;3;8.60E-05;1275;154
Adna;2015;f;2;5.62E-05;1480;-205
Adna;2016;f;2;5.49E-05;1546;-66
Adna;2017;f;1;2.77E-05;1860;-314
Adna;2018;f;6;0.000164154;942;918
Adna;2019;f;2;5.56E-05;1606;-664
Adna;2020;f;7;0.000196293;833;773
Adna;2021;f;7;0.000187141;877;-44
Adna;2022;f;3;8.39E-05;1431;-554
Adora;2006;f;1;3.44E-05;1435;
Adora;2007;f;1;3.35E-05;1449;-14
Adora;2016;f;2;5.49E-05;1546;
Adora;2017;f;1;2.77E-05;1860;-314
Adora;2018;f;3;8.21E-05;1336;524
Adora;2019;f;3;8.34E-05;1350;-14
Adora;2020;f;3;8.41E-05;1378;-28
Adora;2021;f;4;0.000106938;1234;144
Adora;2022;f;3;8.39E-05;1431;-197
Adriana;2000;f;55;0.001833761;134;
Adriana;2001;f;59;0.002087683;113;21
Adriana;2002;f;47;0.001668856;143;-30
Adriana;2003;f;45;0.001607258;155;-12
Adriana;2004;f;42;0.001453488;162;-7
Adriana;2005;f;50;0.001729924;131;31
Adriana;2006;f;33;0.001134254;206;-75
Adriana;2007;f;47;0.001576705;133;73
Adriana;2008;f;33;0.001079313;215;-82
Adriana;2009;f;42;0.001339499;166;49
Adriana;2010;f;46;0.001412343;156;10
Adriana;2011;f;45;0.001379141;166;-10
Adriana;2012;f;52;0.001561984;145;21
Adriana;2013;f;65;0.001934063;107;38
Adriana;2014;f;35;0.001003728;213;-106
Adriana;2015;f;43;0.001209292;180;33
Adriana;2016;f;48;0.001318428;166;14
Adriana;2017;f;44;0.001219377;176;-10
Adriana;2018;f;46;0.001258515;171;5
Adriana;2019;f;39;0.00108475;192;-21
Adriana;2020;f;47;0.001317966;162;30
Adriana;2021;f;46;0.001229782;176;-14
Adriana;2022;f;30;0.000838739;248;-72
Adrijana;2000;f;5;0.000166706;691;
Adrijana;2001;f;4;0.000141538;746;-55
Adrijana;2002;f;6;0.000213045;659;87
Adrijana;2003;f;4;0.000142867;796;-137
Adrijana;2004;f;4;0.000138427;845;-49
Adrijana;2005;f;3;0.000103795;971;-126
Adrijana;2006;f;3;0.000103114;1013;-42
Adrijana;2007;f;1;3.35E-05;1449;-436
Adrijana;2008;f;3;9.81E-05;1050;399
Adrijana;2009;f;1;3.19E-05;1551;-501
Adrijana;2010;f;1;3.07E-05;1591;-40
Adrijana;2011;f;2;6.13E-05;1369;222
Adrijana;2012;f;5;0.000150191;951;418
Adrijana;2013;f;3;8.93E-05;1238;-287
Adrijana;2014;f;2;5.74E-05;1480;-242
Adrijana;2016;f;3;8.24E-05;1335;
Adrijana;2017;f;5;0.000138566;1017;318
Adrijana;2018;f;5;0.000136795;1055;-38
Adrijana;2019;f;3;8.34E-05;1350;-295
Adrijana;2020;f;3;8.41E-05;1378;-28
Adrijana;2021;f;5;0.000133672;1093;285
Adrijana;2022;f;5;0.00013979;1039;54
Adryana;2015;f;1;2.81E-05;1769;
Adryana;2022;f;2;5.59E-05;1849;
Adèle;2000;f;3;0.000100023;850;
Adèle;2001;f;2;7.08E-05;948;-98
Adèle;2002;f;1;3.55E-05;1216;-268
Adèle;2003;f;9;0.000321452;524;692
Adèle;2004;f;6;0.000207641;687;-163
Adèle;2005;f;9;0.000311386;564;123
Adèle;2006;f;8;0.000274971;628;-64
Adèle;2007;f;8;0.000268375;645;-17
Adèle;2008;f;4;0.000130826;945;-300
Adèle;2009;f;12;0.000382714;523;422
Adèle;2010;f;9;0.000276328;640;-117
Adèle;2011;f;16;0.000490361;429;211
Adèle;2012;f;15;0.000450572;444;-15
Adèle;2013;f;17;0.000505832;420;24
Adèle;2014;f;20;0.000573559;373;47
Adèle;2015;f;27;0.000759323;286;87
Adèle;2016;f;19;0.000521878;406;-120
Adèle;2017;f;28;0.000775967;293;113
Adèle;2018;f;29;0.000793412;275;18
Adèle;2019;f;39;0.00108475;192;83
Adèle;2020;f;25;0.000701046;305;-113
Adèle;2021;f;34;0.000908969;235;70
Adèle;2022;f;31;0.000866696;238;-3
Adél;2004;f;1;3.46E-05;1343;
Adél;2016;f;1;2.75E-05;1839;
Adél;2017;f;1;2.77E-05;1860;-21
Adél;2018;f;2;5.47E-05;1567;293
Adél;2019;f;1;2.78E-05;1884;-317
Adél;2021;f;1;2.67E-05;1902;
Adél;2022;f;2;5.59E-05;1849;53
Adélaïde;2001;f;1;3.54E-05;1162;
Adélaïde;2007;f;2;6.71E-05;1208;
Adélaïde;2008;f;1;3.27E-05;1459;-251
Adélaïde;2009;f;1;3.19E-05;1551;-92
Adélaïde;2010;f;1;3.07E-05;1591;-40
Adélaïde;2011;f;1;3.06E-05;1625;-34
Adélaïde;2012;f;1;3.00E-05;1683;-58
Adélaïde;2014;f;3;8.60E-05;1275;
Adélaïde;2015;f;1;2.81E-05;1769;-494
Adélaïde;2016;f;4;0.000109869;1167;602
Adélaïde;2017;f;1;2.77E-05;1860;-693
Adélaïde;2018;f;2;5.47E-05;1567;293
Adélaïde;2019;f;4;0.000111256;1177;390
Adélaïde;2020;f;2;5.61E-05;1612;-435
Adélaïde;2021;f;2;5.35E-05;1600;12
Adélaïde;2022;f;2;5.59E-05;1849;-249
Adélia;2000;f;1;3.33E-05;1166;
Adélia;2004;f;1;3.46E-05;1343;
Adélia;2009;f;1;3.19E-05;1551;
Adélia;2010;f;1;3.07E-05;1591;-40
Adélia;2011;f;1;3.06E-05;1625;-34
Adélia;2012;f;1;3.00E-05;1683;-58
Adélia;2013;f;2;5.95E-05;1429;254
Adélia;2016;f;2;5.49E-05;1546;
